text,topic,type,Predicted
Impassioned Americans don't understand that Black Lives Matter is a rhetorical facade masking Marxist ideas that would destroy the lives of vulnerable Americans.,marriage-equality,,NEUTRAL
"China, where the virus was first reported late last year, is also in talks with the WHO to have its domestically made vaccines assessed for international use.",vaccine,,BIASED
The positive test for a banned substance comes as a major embarrassment to Australian swimming given the headline-grabbing podium protest that 400 freestyle silver medalist Mack Horton made on Sunday over Sun Yang’s participation at the worlds.,sport,center,BIASED
"It’s only a matter of time, the argument goes, before the Roe v. Wade precedent is struck down at the hands of five conservative justices, two of whom are on the high court thanks to Trump.",abortion,left,NEUTRAL
Gay and bisexual men in Scotland prosecuted for consensual same-sex activity will receive an automatic pardon under a law which came into effect on Tuesday aiming to correct a “historic wrong” but stopped short of offering compensation.,blm,,BIASED
"""We hope that knowing he will never be free again will offer some small bit of comfort to those he has hurt so much,"" Parker said.",gun-control,,BIASED
The Affordable Care Act was enacted in 2010 under Democratic President Barack Obama.,universal health care,center,BIASED
"Just days after Missouri Gov. Mike Parson signed a bill that bans abortions at or beyond the eighth week of pregnancy, Planned Parenthood said the state threatened to not renew its license for the state's lone abortion clinic.",abortion,center,BIASED
"On this episode of the Federalist Radio Hour, Garett shares his experiences covering politics, how television and print media have changed, and his own account of the first year of the Trump presidency.",trump-presidency,right,BIASED
"Safe spaces, trigger warnings, de-platforming etc is nothing to do with progressive values and everything to do with delegitimising even moderate voices of disagreement.",marriage-equality,,NEUTRAL
The brave culture warriors who puff their chests over pro-life legislation are largely quiet when a country with more financial power over them than Georgia transgresses on a scale beyond any comparison.,islam,,NEUTRAL
"The message from the Bouman backlash is that if you are a woman who becomes the face of a massive scientific breakthrough, sexist internet trolls will spend way too much of their time harassing you and trying to disprove your credibility.",gender,left,NEUTRAL
President Donald Trump is getting called out on social media after posing in front of a church with a Bible ― a photo-op possible only after police fired tear gas and rubber bullets at peaceful protesters to clear the area. ,trump-presidency,left,BIASED
"Nearly 70 percent of Americans, including a majority of Republicans, want the United States to take “aggressive” action to combat climate change - but only a third would support an extra tax of $100 a year to help, according to a Reuters/Ipsos poll released Wednesday.",taxes,center,BIASED
"And so, while demonstrations began to spread and police engaged in ruthless attacks on nonviolent protesters, Americans have been subjected to Trump trying — feebly, but at great cost to both taxpayers and public safety — to assuage his ego by demanding that his real life display of weenie-ness be “fixed” with reshoots and post-production edits.",trump-presidency,left,NEUTRAL
"Shogan gave the same answer to every question, stating, ""My social media is in my personal capacity, Senator.""",elections-2020,,BIASED
"Prosecutors have said the gunman targeted a Tops Friendly Markets supermarket in a Black neighborhood of Buffalo, about 200 miles (320 km) from his home in Conklin, New York, intending to kill as many Black people as he could with an assault weapon.",gun-control,,BIASED
It seems as if things may be coming to a head as we launch into what I fervently hope will be the last year of this bizarre and disturbing political ordeal.,black lives matter,left,NEUTRAL
"Betsey Stevenson, an economics professor at the University of Michigan and another of the signatories on the Warren funding letter, said Warren’s plan shows it is possible to pay for Medicare for All without raising middle class taxes.",taxes,center,BIASED
Experts sound off after messy and chaotic Trump-Biden debate,black lives matter,left,NEUTRAL
"Measles is so contagious that 90 percent of unvaccinated people who come in contact with an infected person will get the virus, according to the Centers for Disease Control and Prevention.",vaccines,center,BIASED
"Biden’s proposal seeks to make a dent in college debt, albeit one that is specific and targeted to individuals making below a certain amount of money.",student-debt,left,BIASED
"Former Republican presidential nominee Mitt Romney took to Twitter on Monday morning to attack President Donald Trump, using the Martin Luther King Jr. holiday to suggest that Trump is a racist.",trump-presidency,right,NEUTRAL
"Trump and his attorneys have been aggressively fighting the office of Manhattan DA Cyrus Vance, claiming that because the president enjoys “absolute immunity,” he is under no obligation to share his financial records with Vance and other prosecutors.",taxes,left,NEUTRAL
"The U.S. government on Monday said it would increase by 2.53 percent on average 2020 payments to the health insurers that manage Medicare Advantage insurance plans for seniors and the disabled, a reflection of a new estimate on medical cost growth.",universal health care,center,BIASED
"Sure, the coronavirus pandemic is racing through the American population like an out-of-control locomotive.",vaccine,,NEUTRAL
"With it’s bothsidesism and pro-Trump onesiderism, the New York Times is flailing",gun control,left,NEUTRAL
"Humana Inc will not return to the individual insurance market after it exits the Obamacare exchanges this year, a market that Republicans are trying to repeal and replace through new legislation, Humana’s top executive said on Thursday.",universal health care,center,BIASED
"Transgender ideology says each persons’ preferences are — and should be — unconnected from their bodies. It says that men and women are interchangeable, and can switch their sex by switching their own sense of “gender identity” so that men who say they are women really do become biological women, complete with female penises.",gender,right,NEUTRAL
French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.,sport,right,BIASED
"Former GOP strategist Steve Schmidt on Monday rebuked President Donald Trump’s fumbling response to the coronavirus pandemic, suggesting the United States would not be facing “catastrophe” if former President Barack Obama were still in office",trump-presidency,left,NEUTRAL
Rowling refuses to buy into this anti-science trans nonsense that demands we all be gaslighted into believing a man can magically transform into a woman simply by saying he’s a woman followed by a chorus of “I Feel Pretty.”,marriage-equality,,NEUTRAL
"The lawsuit argued that because Congress has not repealed the Affordable Care Act, as Obamacare is legally known, the U.S. Constitution requires Trump to take care that it, like other laws, is “faithfully executed.”",universal health care,center,BIASED
“Harry Potter” author J.K. Rowling said on Monday she had recovered from a suspected case of COVID-19 after two weeks of illness.,blm,,BIASED
Anyone who has shouldered the burden of six-figure student loan debt knows the heavy toll it can take. ,student-debt,left,BIASED
Gun control activists on Monday criticized guidance issued by President Donald Trump’s administration recommending that states find that gun stores are critical businesses that can stay open during the coronavirus crisis.,gun control,center,BIASED
"As the debt crisis unfolds, the idea of allowing social science to drive public policy, even if it were somehow affordable, will prove increasingly objectionable.",student-debt,right,NEUTRAL
But the White House played down the coronavirus crisis and called the high level of news coverage a ploy to hurt U.S. President Donald Trump.,vaccine,,NEUTRAL
Quite how ‘woke’ is synonymous with ‘quality’ Wenger could not explain: probably because the two concepts are antithetical.,marriage-equality,,NEUTRAL
President Trump is culpable in the preventable deaths of tens of thousands of Americans due to the evisceration of environmental protections in addition to the preventable deaths of tens of thousands of other Americans due to Trump’s disastrous response to the COVID-19 pandemic.,environment,left,NEUTRAL
"Female genital mutilation is illegal in Germany, leading many families to travel to their country of origin to have the gruesome ritual performed on their daughters.",gender,right,NEUTRAL
"How do we deal with the false perception that liberals are more inclined to trust science than conservatives? Or, how do we approach the media’s fondness for focusing on the unscientific views of some conservatives but ignoring the irrational—and oftentimes, more consequential—beliefs of their fellow liberals?",vaccines,right,NEUTRAL
Former Mayor Pete Buttigieg (D) claimed during the Democrat debate on Friday that he has been “consistent” on his position on health care.,universal health care,right,NEUTRAL
"Microsoft has announced an ambitious effort to make voting secure, verifiable and subject to reliable audits by registering ballots in encrypted form so they can be accurately and independently tracked long after they are cast.",elections-2020,center,BIASED
"Mothers experience natural physical and emotional bonding with their unborn children, and abortion doesn’t erase that.",abortion,,NEUTRAL
"Justice Sonia Sotomayor, in her dissent, accused the majority of weaponizing the First Amendment — an unconscionable position for a person tasked with “faithfully and impartially” discharging the duty to protect the inherent rights of all Americans. The dissenters have perverted the intent of the Founders. It’s none of Sotomayor’s business how we use free expression. It’s her business to protect it.",trump-presidency,right,NEUTRAL
"Last year, some states tried to ban abortion after just six weeks into a pregnancy ― when many women don’t even know they’re pregnant yet. Considering that 1 in 4 women has an abortion during her lifetime, the effects of these restrictions could prove devastating.",abortion,left,NEUTRAL
"Several thousand gun rights supporters are planning a large rally in Richmond, Virginia’s capital, on Monday in response to the newly Democratic-controlled state legislature’s push to stiffen gun laws.",gun control,center,BIASED
"And combined with his Zoom calls into MSNBC and CNN, and sending out Kamala to give a prebuttal to Trump, it doubles down on the idea in the mind of those who aren’t that partisan that Biden is a weak figure, operating out of fear, with no answer except a return to lockdown and mandatory masks outside until a vaccine is widely available.",vaccine,,NEUTRAL
"Romania's government, in trying to soften anti-corruption laws, is fanning the flames of nationalism by criticizing the presence of foreigners at protests.",white-nationalism,,NEUTRAL
"Working-class Americans, like those who make up the majority of South Bend residents, have secured the largest wage hikes in the nation compared to all other economic demographic groups — a direct result of Trump tightening the labor market.",middle-class,right,BIASED
"At this point — and keep in mind this is the open discussion part of the debate — after Biden had his say, Trump jumped in and Biden became outright obnoxious and  started interrupting Trump constantly",universal health care,right,NEUTRAL
"The Citibank and Bank of America examples are just the tip of the iceberg, and do not even begin to reveal the larger financial shenanigans against gun makers via Operation Choke Point.",gun-control,right,NEUTRAL
"Women’s rights advocates were relieved late Monday when Senate Democrats blocked an extreme anti-choice bill from advancing to a floor debate—but were soon outraged by President Donald Trump’s lies about abortion care, as well as the corporate media for enabling his blatantly false characterization of the bill to stand.",abortion,left,NEUTRAL
Tensions between Trump and the messaging platform escalated last week after Twitter began to label some of his tweets with a fact-check. Trump responded with an executive order that threatens to curtail some legal protections enjoyed by social media companies.,elections-2020,center,BIASED
The Republican Party and its propaganda news media have decided to ignore reality and fully immerse themselves in TrumpWorld. ,taxes,left,NEUTRAL
"American manufacturing jobs have boomed to a more than 20-year high as President Trump has imposed a wide range of tariffs on imported steel, aluminum, and Chinese products — dooming predictions made by free traders that have yet to pan out.",international-politics-and-world-news,right,NEUTRAL
"Last Wednesday the Times ran an op-ed from Senator Tom Cotton, R-Ark., suggesting American soldiers should be used to quell protests and violence related to the killing of George Floyd.",marriage-equality,,BIASED
"Donald Trump became the first U.S. president to attend the annual March for Life in Washington on Friday, unleashing a fierce attack on his Democratic rivals during a rally in an election-year show of support for opponents of abortion rights.",abortion,center,NEUTRAL
Amazon turns to Chinese firm on US blacklist to meet thermal camera needs,islam,,BIASED
"They've gone from echoing Trump's pooh-poohing of the coronavirus to cheerleading for their ""wartime president.""",vaccine,,NEUTRAL
"Thus the old stereotype of the tycoon or corporate chieftain as some sort of conservative stuffed shirt has been replaced by such hipper-than-thou figures as Richard Branson, Elon Musk, and the various Silicon Valley masters of the universe.",taxes,right,NEUTRAL
"Scotland legalised same-sex activity between men in 1980, though it was not until 2001 that the age of consent was equalised between gay and heterosexual couples.",blm,,BIASED
"Despite the image portrayed of popular culture in the media, of those Millennials surveyed, only seven percent supported abortion without any exceptions and funded by taxpayer dollars — the position embraced by the Democrat Party.",abortion,right,NEUTRAL
"The plan to teach children that gender resides on a “spectrum” has been abandoned, a report on Sunday has claimed.",gender,,BIASED
"The eyes of the political world are on South Carolina, where over half of the Democratic primary voters are black.",blm,,BIASED
"In an echo of her iconic 1995 speech in Beijing as First Lady, where she declared that ""human rights are women's rights and women's rights are human rights,"" Secretary of State Hillary Rodham Clinton delivered a speech on Dec. 6, 2011, to the United Nations declaring, ""Gay rights are human rights, and human rights are gay rights.""",gender,left,BIASED
"The dynamic exposes two underappreciated realities of Trump’s Iran obsession: Any U.S. war on Iran will ignite war in Iraq, and U.S. credibility is visibly faltering across the region. ",international-politics-and-world-news,left,NEUTRAL
Reuters was not able to verify battlefield reports.,international-politics-and-world-news,,BIASED
"Close to one third of young U.S. adults appear to have an elevated risk for severe COVID-19, with smoking their strongest risk factor, according to survey data.",vaccine,,BIASED
So-called “reproductive justice” advocates demand that insurance companies pay surrogacy fees for men.,abortion,,NEUTRAL
"So while these Republicans in D.C. are still lost in the mindset that voters will still support them because ""they're not the other guys,"" that's not entirely true: promises were made, tens of millions of dollars were raised off said promises. Time to man up, Republicans, and fulfill those promises or else people might call you for what you're acting like right now: liars.",trump-presidency,right,NEUTRAL
"Democratic Rep. Gwen Moore of Wisconsin, a member of the Congressional Black Caucus, says the GOP is risking Americans’ health and safety for “the economic outcomes Trump desires.”",blm,,BIASED
"Author and Trump hater Stephen King is feeling the heat from fellow liberals following his tweets about the Academy Award nominations, in which he said that quality is more important than diversity when it comes to creating works of art.",marriage-equality,,NEUTRAL
"But how is Francis going to maintain that particular comedy persona now that we know that underneath he is a cowardly, politically correct, blubbing cry-baby who in fact really does care what a bunch of race-baiting, commie thugs think, and is so scared of losing his very well-paid job on mainstream TV that he’s prepared to grovel and humiliate himself in order to keep it?",marriage-equality,,NEUTRAL
"During the fifth debate in the Democratic race to pick a challenger to Trump in the November 2020 election, the 10 candidates aired differences on healthcare and taxing the wealthy, but kept the exchanges largely polite and instead heaped heavy criticism on Trump.",taxes,center,BIASED
"Should China be the first country to develop an effective vaccine, dictator Xi Jinping has promised to provide the world with “free” coronavirus vaccines paid for by Beijing. ",vaccines,right,BIASED
"Two years after the Trump administration made the state-sanctioned kidnapping of children at the border official U.S. policy, the horrors around this crime against humanity continue to be exposed.",immigration,left,NEUTRAL
So we have tens of millions of legal and illegal aliens present in the United States and we’re expected to believe none of them vote?,taxes,right,NEUTRAL
Nationwide riots have wreaked havoc and destruction across America over the past week in response to the death of Minneapolis man George Floyd in police custody. ,black lives matter,right,BIASED
"In the Trumpian pandemic moment, gun purchases have soared in a country that already topped the world by far in armed citizens. ",gun control,left,NEUTRAL
"Those losses could be offset by efforts from activist group’s such as Ralph Reed’s Christian Coalition, which plans to spend tens of millions of dollars to identify and register new religious conservative voters and rallying right-wing Christians.",elections-2020,left,BIASED
"But few people who describe themselves as transgender wish to live as members of the opposite sex, and even fewer wish to undergo cosmetic surgery.",gender,right,BIASED
Seattle police investigate new shooting near autonomous zone,blm,,BIASED
"Multiple studies have attempted to translate the New Green Deal resolution's pledges into concrete policies, but often claim to significantly underestimate the actual costs due to the resolution's vagueness.",environment,right,NEUTRAL
"The once venerable Lancet medical journal has put forward Joe Biden as the best choice for Americans’ health, continuing the magazine’s unabashed left-wing activism.",universal health care,right,NEUTRAL
President of Belarus refuses to cancel sports and scoffs at ‘Psychosis’ of coronavirus measures.,sport,right,NEUTRAL
"Just a few weeks later, our divided leaders were taken by surprise by the pandemic, and bickered on cable news, asking why nothing was done sooner.",coronavirus,right,NEUTRAL
"A recent piece in The Wall Street Journal by Walter Russell Mead has caused a bit of a stir among the chattering classes. Headlined “The Coronavirus May Make Trump Stronger,” it argues that President Trump’s abysmal and malfeasant handling of the greatest public health emergency in a century is a feature, not a bug, in his quest for a second term.",universal health care,left,NEUTRAL
"On Chicago’s Magnificent Mile, for instance, stores like Gucci, H&M and Nordstrom are open but remain clad in plywood, having being looted months ago.",black lives matter,center,BIASED
"U.S. health insurer Anthem Inc said on Wednesday it will not offer individual Obamacare plans in Maine in 2018, citing uncertainty over government operations, including whether it will provide subsidies to reduce costs under the Affordable Care Act.",universal health care,center,BIASED
"While no one is praising Trump as a thought leader in the way Limbaugh has been, he’s undeniably made conservative ideas tangible for average Americans.",trump-presidency,right,NEUTRAL
"Trump on Sunday retweeted a former Republican congressional candidate’s tweet that was critical of comments Fauci made in a CNN interview and contained a call for his firing. Fauci, 79, has been director of the National Institute of Allergy and Infectious Diseases since 1984.",trump-presidency,center,BIASED
"During her acceptance speech for best actress in a limited television series for Fosse/Vernon, Williams went on a bizarre rant about the need for abortion rights in the United States and for American women to vote for pro-choice candidates during election years.",abortion,right,NEUTRAL
"I was like, ‘Oh, my god, I can’t be here,’” she told The Daily Beast.",environment,,BIASED
"Dalelio, an anti-vaccine demostrator, was reportedly protesting a new state law that would stifle fraudulent medical exemptions for vaccinations.",vaccines,right,NEUTRAL
Major talks between the United States and the European Union to establish a shared tax framework for multinational companies broke down on the issue of seeking to secure an agreement on digital taxation. ,taxes,left,BIASED
"Cancellation of a two-week United Nations meeting on gender equality, female empowerment and “women’s issues” due to the coronavirus outbreak sparked an outcry from 12,000 disappointed delegates, diplomats and non-government organizations scheduled to fly into New York for the event and work towards ending “default male thinking” across the globalist organization.",gender,right,NEUTRAL
"The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.",environment,center,BIASED
U.S. President Donald Trump’s former personal lawyer Michael Cohen said on Wednesday that Trump has not released his tax returns because he feared that public scrutiny would lead to an audit and tax penalties.,taxes,center,BIASED
"For the first time the annual risk report, compiled by the World Economic Forum (WEF), found the top five concerns were all environmental, from extreme weather to biodiversity loss and events like oil spills and radioactive contamination.",environment,center,BIASED
"Ultimately, the best way to defeat the idea of white supremacy is to ignore cartoon villains like Spencer and Anglin. They’re bigots, losers, and attention-seekers who survive on the oxygen the media gives them.",white-nationalism,right,NEUTRAL
"Unfortunately for you non-Texans, Gov. Abbott's extreme gooberness is now surging across our borders to afflict people in your state.",universal health care,left,NEUTRAL
"deadline for the U.S. Internal Revenue Service to turn President Donald Trump’s tax returns over to a congressional tax oversight committee expired on Tuesday without lawmakers receiving the documents, a committee aide said.",taxes,center,BIASED
"It's all very well to tell city residents not to line their trash cans with plastic bags, but washing out a kitchen receptacle every couple of days after use because it doesn't have a plastic liner will takes its toll on water supplies.",environment,left,BIASED
"Her 72-year-old sister, Katherine Massey, was among those killed.",gun-control,,BIASED
"President Donald Trump says that voting by mail is “horrible” and “corrupt” because the “tremendous potential for voter fraud” helps Democrats win elections. But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are doing everything they can to ensure this crucial swing state can hold a safe election during the coronavirus pandemic.",elections-2020,left,NEUTRAL
The revelation of more than $1 billion in public money erroneously paid out shines a light on the part of the government’s massive relief program with which most ordinary Americans are most familiar.,taxes,right,NEUTRAL
It matters that figures like Marsha Blackburn are trying to smear a decorated American war hero. It also matters why she's engaged in such a toxic scheme.,white-nationalism,left,NEUTRAL
"Keeping the country locked down in the name of the pandemic is a way for [Democratic mayors and governors] to hurt Trump, which is the only thing they really care about. Once he’s gone, the rationale for lockdowns, mask mandates, and doom and gloom rhetoric is gone, too.",vaccine,,NEUTRAL
"Thousands of pro-gun fanatics are expected to descend on the Virginia state capital on Martin Luther King Day, and, until Northam's declaration of a state of emergency, clearly had expected to brandish weapons and look as menacing as possible to lawmakers who want to reform the state's gun laws.",gun control,left,NEUTRAL
In one of his his most recent lies President Donald Trump now says he’s always known and felt the coronavirus crisis is a pandemic.,vaccine,,NEUTRAL
The Georgian Orthodox Church Patriarchy said all Easter services would be held in a traditional manner this week but parishioners would be required to maintain social distancing between each other to stem transmission of the virus.,coronavirus,center,BIASED
"Even so, the results offer fresh evidence that concerns about women’s emotional health after an abortion shouldn’t factor into policies about legal access to these procedures, said Julia Steinberg, a researcher at the University of Maryland, College Park, who wasn’t involved in the study.",abortion,center,BIASED
"Using the International Holocaust Remembrance Alliance's definition of anti-Semitism, Canada’s vote for creation of a Palestinian state does not delegitimize Israel, any more than Canadian criticism of any other state delegitimizes it.",international-politics-and-world-news,left,BIASED
"Fortunately, President Trump and his administration have rejected Obama’s foolish positions on this issue and clearly named the enemy: radical Islam.",islam,,NEUTRAL
The Republican Party is poised to cement its hold on power in state legislatures and the U.S. House of Representatives after winning nearly every election in which the power to redraw legislative maps was at stake.,gun control,left,BIASED
"Since then, CTE has expanded from football to raise red flags around a myriad of other sports including soccer, rugby, horse racing, bull-riding, skiing/snowboarding, hockey, and wrestling.",sport,right,BIASED
But Omar used Ivanka’s pro-family posts as a way to make a political point about her father’s policies regarding the families separation at U.S.-Mexico border.,immigration,right,BIASED
"U.S. Rep. Steve King, under fire for defending white nationalism and white supremacism is now endorsing President Trump’s desire to declare a national emergency to build his wall.",immigration,left,NEUTRAL
To treat human beings as props when there’s a real danger of exposure increases the cruelty quotient.,immigration,,NEUTRAL
The state is now considered to be one of the worst COVID hotspots in the world and hospitals are in a desperate situation.,vaccine,,BIASED
"With hundreds of potential vaccines in various stages of development around the world, Russia was the first country to license its vaccine for public use and alongside China has been deploying the shots before full efficacy trials are complete.",vaccine,,BIASED
"Vice President Mike Pence — a Christian conservative with a long history of anti-science views, including both denying that condoms are safe and cigarettes are dangerous — is running the White House coronavirus task force, which is no doubt one of the big reasons the U.S. has one of the worst responses to the pandemic in the world.",vaccine,,NEUTRAL
Nor do Americans appreciate folks who wax eloquently about human dignity and rights while endorsing the murdering of American children in the womb.,islam,,NEUTRAL
The U.S. Justice Department has not disclosed what punishment it would seek if Gendron is convicted.,gun-control,,BIASED
On Sunday nights and early Monday mornings the online LGBTQ chatter is focused on whether the Supreme Court will issue—at 10 a.m. on that Monday morning—its long-awaited decision about whether it is OK to fire someone because they are LGBTQ.,marriage-equality,,BIASED
Everyone in the establishment media are working overtime to either cancel or terrorize Rowling into repudiating her beliefs.,marriage-equality,,NEUTRAL
USA Gymnastics will join USA Swimming and USA Track & Field in asking that the U.S. Olympic and Paralympic Committee lobby for a postponement of the Tokyo Games.,sport,center,BIASED
"By supporting Medicare for All, ACP is supporting dramatic pay cuts for its members.",universal health care,right,NEUTRAL
The point is that lefties don’t think the difficulty of enforcing heavy-handed gun laws is an argument against imposing them. ,gun control,right,NEUTRAL
"If the right to bear arms cannot be infringed, mentally ill felons can own nuclear weapons.",gun-control,,NEUTRAL
The American middle class – once a major point of pride in the United States – has changed considerably over the course of recent decades.,middle-class,center,BIASED
"Jose Acosta, 33-year-old Honduran immigrant, snuck into the U.S. eight months ago in Eagle Pass, Texas, but was apprehended weeks later in Houston on his way to a job in North Carolina.",immigration,right,BIASED
"This is all great news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?",vaccines,left,NEUTRAL
The new numbers from Gallup are an unwelcome sight for Democrats after kicking off the week with a disaster caucus in Iowa who and simultaneously anticipating a Trump acquittal in the Senate. Trump will also now have the opportunity to shine in his newfound approval in Tuesday night’s address to the nation while Democrats are in disarray.,trump-presidency,right,NEUTRAL
"Marshae Jones, 27, was arrested and indicted on the count of manslaughter for failing to remove herself from harm's way in a shooting last year that caused the death of her unborn child.",abortion,center,BIASED
"Since 2016, Democrats have thrown sand, wrenches, and donkey poo into every gear of government to overturn the results of a free and fair election played by rules.",vaccines,right,NEUTRAL
Sen. Josh Hawley (R-MO) introduced two bills on Tuesday to target the “monopolies” higher education institutions have created to make earning degrees involve accumulating massive student debt.,student-debt,right,NEUTRAL
"We might note that at the time of this Texas ruling, national liberals were spluttering with outraged opposition.",gun-control,right,NEUTRAL
It doesn’t take a team—interdisciplinary or otherwise—to understand that ridiculing any non-English language as gibberish is racist.,white-nationalism,,NEUTRAL
It’s one of the most common forms of political pornography among the online Left.,gun control,right,NEUTRAL
We finally know what it takes to get the House to examine gun violence: it’s not a mass shooting; it’s an election.,gun-control,left,BIASED
"They gobble down internet conspiracy theories like QAnon, which creates engagement with right-wing politics for those who aren't religious conservatives or business elites. ",gun control,left,NEUTRAL
Peace and justice advocates are praising a letter from a dozen House Democrats urging further military aid to Israel be conditioned on the state not annexing larger swaths of the occupied West Bank and calling on Congress to ensure the human rights of the Palestinian people be respected.,international-politics-and-world-news,left,BIASED
"Planned Parenthood, the abortion industry giant says the “white supremacy” and “systemic bias in policing” that “took George Floyd’s life” are the same factors involved in “attacks” on women’s abortion rights.",abortion,right,BIASED
"However, Roth's own barrage of anti-Trump, politically charged tweets seemingly calls into question whether he should be creating guidelines for the president and other Twitter users, especially when Twitter is under fire for its alleged left-wing bias.",marriage-equality,,NEUTRAL
"An Austrian BASE jumper was rescued in southern Thailand on Monday after his parachute became snagged on the rocky side of a near-vertical cliff, leaving the thrill-seeker dangling almost 600 feet above the ground for several hours.",sport,right,BIASED
Nine drugmakers racing to develop a COVID-19 vaccine in the U.S. and Europe have signed a pledge to put safety first and adhere to scientific guidelines amid growing public skepticism and pressure from the White House to release a vaccine by the end of the year.,vaccine,,BIASED
"As leading 2020 Dems advocate spending big on the Green New Deal, it turns out most Americans are worried about other issues.",environment,right,BIASED
"Trump has kept it up ever since, instructing federal police to tear-gas peaceful protesters outside the White House on Monday evening to clear the area for his ludicrous photo-op holding a Bible in front of St. John’s Episcopal Church in Lafayette Square, a stunt that outraged the bishop who oversees that church.",trump-presidency,left,NEUTRAL
"Hungarian Prime Minister Viktor Orbán also denounced the policy of Chancellor Angela Merkel and the attitude of the German media, which “are constantly pushing” for Europe to welcome more and more migrants, in opposition to the will of the Hungarian people.",immigration,right,BIASED
"Rep. Al Green (D-TX) at a hearing on Wednesday perpetuated the hoax that President Trump called white nationalists at a rally in Charlottesville, Virginia in 2017 “very fine people.”",white-nationalism,right,NEUTRAL
Health and Human Services (HHS) Secretary Alex Azar announced during a White House press conference on Friday that the Trump administration will end surprise billing for Americans without health insurance.,universal health care,right,BIASED
Paul said the country cannot be under lockdown and be forced to wear masks like it has the majority of 2020 “forever.”,vaccine,,BIASED
Former Vice President Joe Biden lied on Monday about his past position on the best way to deal with the novel Wuhan coronavirus rapidly spreading worldwide that would eventually bloom into a global pandemic.,coronavirus,right,NEUTRAL
"Retailers are ramping up hiring for positions ranging from the warehouse to the checkout counter, as delivery and service workers increasingly become indispensable to Americans largely confined to their homes because of concerns about the coronavirus.",coronavirus,center,BIASED
"Abortionists, who prey on desperate people, should no longer receive your hard-earned tax dollars.",abortion,right,NEUTRAL
Nevada’s Feb. 22 nominating contest is the third one in the state-by-state process of picking a Democratic nominee to face Republican President Donald Trump in the Nov. 3 general election.,blm,,BIASED
"As for Joe Biden, he’s made some truly bizarre comments about guns over his long political career, driven more by a desire to appease both gun-control advocates and gun-owning Democrat constituencies than any coherent philosophy.",gun control,right,NEUTRAL
"Why are members of the fairer sex on the frontlines of riotous efforts to support a movement that insists they're racist, capitalism is racist, and the whole system is racist?",marriage-equality,,NEUTRAL
"Attorney General William Barr drew stinging rebuke from legal experts and civil liberties advocates including the ACLU Wednesday after he told federal prosecutors to more aggressively charge some protesters with crimes—including sedition, under certain circumstances.",black lives matter,left,BIASED
"[The police] now prefer to think of themselves more like glorified social workers, there to heal the wounds of a broken society by showing off their skateboarding skills at Extinction Rebellion protests and putting on makeup and rainbow lanyards to prance embarrassingly at Gay Pride festivals.",marriage-equality,,NEUTRAL
It is hard to argue that the highest income countries should not reduce their meat and dairy.,environment,left,NEUTRAL
Navalvny has for years been accusing Putin and his entourage of rampant corruption.,international-politics-and-world-news,left,BIASED
"Won’t it be absurdly difficult to enforce new gun-control laws, or move toward the outright confiscation that is always and forever the Left’s ultimate goal, after a year of record-breaking gun sales?",gun control,right,NEUTRAL
"Japan is facing a major challenge, with the public skeptical the Olympics can take place — or should take place. Japan has already invested billions, and the delay is likely to cost billions more.",vaccine,,BIASED
"On June 1, Donald Trump, the failed businessman who became president by pretending to be a successful businessman on reality TV, decided to tear-gas peaceful protesters in search of a photo op.",black lives matter,left,NEUTRAL
"In a sweeping social policy shift, the Trump administration is seeking to remake health rules at home and abroad for women, gay and transgender people, restricting access to abortion, curtailing support for contraception and narrowing the scope of civil rights in healthcare.",universal health care,center,NEUTRAL
The dream for compromise between those demanding absolute affirmation for ever-evolving gender and sexual convictions and others of strong religious faith is unrealistic — and not because of religious folks.,marriage-equality,,NEUTRAL
"O’Rourke, a native of the U.S.-Mexican border town El Paso, has blasted Trump’s use of tariffs as a “huge mistake” and has vowed to suspend them on his first day in office.",taxes,center,BIASED
"Netflix disappointed investors when the streaming entertainment giant reported domestic subscriber growth that missed forecasts for the third straight quarter, signaling continued weakness at home as the company supports leftist politics and faces increasing competition from Disney, Apple, and other studios.",marriage-equality,,NEUTRAL
"Tesla warned on Jan. 30 that it would see a 1-1.5 week delay in the ramp-up of Shanghai-built Model 3 cars as a result of the epidemic, which has severely disrupted communications and supply chains across China.",coronavirus,center,BIASED
"Just look at some of the arguments that Elizabeth Spiers, who was adopted as an infant, advanced in a 2021 New York Times essay about “the trauma [adoption] can inflict” and why abortion is a better solution all around. (",abortion,,NEUTRAL
"While Trump has stopped short of invoking the 1807 act to use the military to enforce laws domestically, he’s kept the option open, fomenting further unrest and division. Rather than staging photo opportunities while awkwardly holding a Bible in Lafayette Square, Trump would have issued a formal proclamation calling on the insurgents to disperse if he’s serious about the application of the Insurrection Act.",trump-presidency,left,NEUTRAL
"Fearful and insecure Americans are taking advantage of weak and ineffective gun-control laws and stocking up, as President Trump might say, “like never before.”",gun-control,left,NEUTRAL
